"Site_ID","Site_name","Smithsonian","Country","State","County","FIPS","Lat","Lon","Comment","Narrative","Typical","Color","Marker","Size"
259,"Canton site","15TR1","USA","KY","Trigg",,36.84740,-87.77630,"3 RC dates: 6564-6461; 6371-6255; 6358-6245 Raciocarbon Tears BP (1950) calBC [OxCal] from nutshell","3 RC dates: 6564-6461; 6371-6255; 6358-6245 Raciocarbon Tears BP (1950) calBC [OxCal] from nutshell",,"lightgrey","o",20.00000
260,"Kitabara",,"Japan","Kanagawa",,,35.00300,134.18000,"LGD owes data (LL guess)  i Kanagawa Prefecture, Tokyo, Japan",,,"lightgrey","o",20.00000
261,"Obihiro_Minami_Machi",,"Japan","Hokkaido","Tokachi",,42.92400,143.19700,"LGD owes data (LL guess)",,,"lightgrey","o",20.00000
262,"Obihiro_Ochiai",,"Japan","Hokkaido","Tokachi",,43.12900,142.66500,"LGD owes data (LL guess)",,,"lightgrey","o",20.00000
263,"Obihiro_Ozora",,"Japan","Hokkaido","Tokachi",,43.91400,144.17300,"LGD owes data (LL guess)",,,"lightgrey","o",20.00000
264,"Satsunai N",,"Japan","Hokkaido","Nakagawa",,42.91270,143.25620,"LGD owes data (LL guess) Satsunai is a train station in Makubetsu, Nakagawa District, Hokkaidō, Japan.",,,"lightgrey","o",20.00000
265,"Tomadaichi",,"Japan","Hokkaido","Tokachi",,43.47000,143.75000,"LGD owes data (no LL guess)  Rikubetsu Town",,,"lightgrey","o",20.00000
267,"Kheta",,"Russia","Krasnoyarsk",,,70.27000,95.86000,"Kheta River (Russian: Хета) is a river in Krasnoyarsk Krai in Russia,",,,"lightgrey","o",20.00000
268,"Cedros temp",,"Mexico","Baja CA","Cedros Island",,28.03300,-115.22500,,,,"lightgrey","o",20.00000
269,"Elko",,"USA","NV","Elko",,41.41200,-115.34800,"Placeholder for 'Elko Nevada' ppt of Loren's",,1503,"lightgrey","o",20.00000
270,"Cape Blanco",,"USA","OR","Curry",,42.90250,-124.56194,"LGD found biface in cut next to parking lot",,1437,"lightgrey","o",20.00000
272,"Infinity Cave",,"USA","OR","Deschutes",,43.90803,-121.22629,"Infinity Cave job, restricted use contact alex nyers/nwrosl for usage",,,"lightgrey","o",20.00000
273,"Harris","SDI-149","USA","CA","San Diego",,33.05275,-117.15943,"Harris site is a beautifully stratified site with a Late Period post 2,000 yrs bp to Contact Period then an Archaic “La Jolla” circa 4,000 yrs bp to circa 8,000 and Early Period pseudo Paleo San Dieguito from circa 9,000 to maybe 11,000–artifacts continue","Harris site is a beautifully stratified site with a Late Period post 2,000 yrs bp to Contact Period then an Archaic “La Jolla” circa 4,000 yrs bp to circa 8,000 and Early Period pseudo Paleo San Dieguito from circa 9,000 to maybe 11,000–artifacts continue below that level (approximately 3 meters)but nothing to date. -- Richard Carrico SDSU",1686,"lightgrey","o",20.00000
274,"Tooele County, Utah",,"USA","UT","Tooele",,40.45026,-113.12504,"Nowicki",,1672,"lightgrey","o",20.00000
275,"Old River Bed","42TO5564","USA","UT","Tooele",,40.45026,-113.12504,"U-13-LY-0667 ORB Site; 'UTM 4455652 N	298406 E'Using County centroid LL",,1676,"orange","o",20.00000
276,"Hill AFB",,"USA","UT","Tooele",,41.13128,-111.99568,"Hill AFB UTTR 15 UM Playas",,1677,"lightgrey","o",20.00000
277,"8LE148","8LE148","USA","FL","Leon",,30.46365,-84.27838,"from State of Florida collections via Kristen Hall",,21000,"lightgrey","o",20.00000
278,"8LE73","8LE73","USA","FL","Leon",,30.46365,-84.27838,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
279,"8LE484","8LE484","USA","FL","Leon",,30.46365,-84.27838,"from State of Florida collections via Kristen Hall",,21008,"lightgrey","o",20.00000
280,"8TA143","8TA143","USA","FL","Taylor",,30.05011,-83.59747,"from State of Florida collections via Kristen Hall",,21009,"lightgrey","o",20.00000
281,"8TA382","8TA382","USA","FL","Taylor",12123,30.05011,-83.59747,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
282,"8HA172","8HA172","USA","FL","Hamilton",12047,30.49776,-82.94448,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
283,"8VO215","8VO215","USA","FL","Volusia",12127,29.05633,-81.19268,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
284,"8HI476","8HI476","USA","FL","Hillsborough",12057,27.92980,-82.30680,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
285,"8SU310","8SU310","USA","FL","Suwannee",12121,30.20039,-82.98588,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
286,"8LV537","8LV537","USA","FL","Levy",12075,29.32617,-82.73615,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
287,"8HE276","8HE276","USA","FL","Hernando",12053,28.54981,-82.41661,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
288,"8JA1761","8JA1761","USA","FL","Jackson",12063,30.79880,-85.21237,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
289,"8HI507","8HI507","USA","FL","Hillsborough",12057,27.92980,-82.30680,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
290,"8PA2478","8PA2478","USA","FL","Pasco",12101,28.30843,-82.38667,"from State of Florida collections via Kristen Hall",,,"lightgrey","o",20.00000
291,"35DS3036 Biface cache","35DS3036","USA","OR","Deschutes",41017,43.90803,-121.22629,"USFS",,,"lightgrey","o",20.00000
292,"El Jaro",,"USA","CA","Santa Barbara",6083,34.67197,-120.01283," Site location 10n, 742100mE, 3826700 mN, Santa Barbara County, California.  Found in dry stream bed, no site designation. Dubbed 'El Jaro paleo-point' by Nyers customer.",,12536,"lightgrey","o",20.00000
293,"Douglas Co OR BLM",,"USA","OR","Douglas",41019,43.25000,-123.02000,"BLM isolate via Nyers",,12537,"lightgrey","o",20.00000
294,"Lava Cast Cache","35DS751","USA","OR","Deschutes",41017,43.80000,-121.30000,"via Alex via Jillian Gantt, Deschutes NF.  379 ppts!   rounded LL  UTM zone 10 635000 4852000 within 1km",,,"lightgrey","o",20.00000
295,"Cooper's Ferry PFP1","10IH73","USA","ID","Idaho",,45.83513,-115.46639,"Pit Feature P1",,274,"limegreen","s",20.00000
296,"Cooper's Ferry PFA2","10IH73","USA","ID","Idaho",,45.83513,-115.46639,"Pit Feature A2",,328,"limegreen","*",20.00000
297,"Lawrence site","15TR33","USA","KY","Trigg",,36.84740,-87.77630,"3 RC dates: 6474-6103; 6825-5562; 6432-5991 Raciocarbon Tears BP (1950) calBC [OxCal] from charcoal","3 RC dates: 6474-6103; 6825-5562; 6432-5991 Raciocarbon Tears BP (1950) calBC [OxCal] from charcoal",,"lightgrey","o",20.00000
298,"Whalen",,"USA","KY",,,,,,,,"lightgrey","o",20.00000
299,"Morrisoe",,"USA","KY",,,,,,,,"lightgrey","o",20.00000
300,"Witt",,"USA","CA","Kings",,36.07852,-119.80337,"in Tulare Lake basin",,,"lightgrey","o",20.00000
301,"Chiquihuite Cave",,"Mexico","Zacatecas",,,24.60946,-101.18799,"Ardelean, 2022 publication possible artifacts",,,"lightgrey","o",20.00000
302,"10-BN-534","10-BN-534","USA","ID","Blaine",,,,"Nyers BO-20-41 Project        ",,,"lightgrey","o",20.00000
303,"2540.2.1991",,"USA","ID","Bonneville",,43.25900,-111.06800,"Nyers BO-20-41 Project  'Indian Creek, Bonneville County, Idaho, Derived by NRWOSL - Taken from middle of Indian Creek in Bonneville County'",,,"lightgrey","o",20.00000
304,"10-BT-52","10-BT-52","USA","ID","Butte",,43.69400,-113.14100,"Nyers BO-20-41 Project  Coords from center of Butte County  58.1    2 artifacts in one sack  Coords from center of Butte County  58.1    2 artifacts in one sack  Coords from center of Butte County  58.1    2 artifacts in one sack  Coords from center of Bu",,,"lightgrey","o",20.00000
305,"1983.1.1",,"USA","ID","Cassia",,42.27400,-113.63500,"Nyers BO-20-41 Project  'no coordinates; Presumably Cassia County, Idaho, Derived by NRWOSL - center of cassia county'",,,"lightgrey","o",20.00000
306,"ARPA.952",,"USA","ID","Gooding",,42.92700,-114.95100,"Nyers BO-20-41 Project  'No coordinates: McKean Site, Bliss, Idaho, Derived by NRWOSL - Taken at Bliss Id'",,,"lightgrey","o",20.00000
307,"10-JF-155","10-JF-155","USA","ID","Jefferson",,43.81000,-112.18000,"Nyers BO-20-41 Project                                                    ",,,"lightgrey","o",20.00000
308,"10-JF-191","10-JF-191","USA","ID","Jefferson",,43.89200,-112.21100,"Nyers BO-20-41 Project                                                    ",,,"lightgrey","o",20.00000
309,"10-JE-47","10-JE-47","USA","ID","Jerome",,42.52700,-114.03500,"Nyers BO-20-41 Project    ",,,"lightgrey","o",20.00000
310,"10-JE-6","10-JE-6","USA","ID","Jerome",,42.78700,-114.22100,"Nyers BO-20-41 Project                ",,,"lightgrey","o",20.00000
311,"10-LH-100","10-LH-100","USA","ID","Lemhi",,44.90300,-113.78500,"Nyers BO-20-41 Project  Center of Lemhi County",,,"lightgrey","o",20.00000
312,"10-LH-2310","10-LH-2310","USA","ID","Lemhi",,44.90300,-113.78500,"Nyers BO-20-41 Project  Center of Lemhi County",,,"lightgrey","o",20.00000
313,"10-LH-2465","10-LH-2465","USA","ID","Lemhi",,44.90300,-113.78500,"Nyers BO-20-41 Project  Center of Lemhi County",,,"lightgrey","o",20.00000
314,"10-LN-93","10-LN-93","USA","ID","Lincoln",,42.85400,-114.44900,"Nyers BO-20-41 Project                                                ",,,"lightgrey","o",20.00000
315,"10-OE-1352","10-OE-1352","USA","ID","Owyhee",,42.71800,-115.25400,"Nyers BO-20-41 Project  ",,,"lightgrey","o",20.00000
316,"10-OE-1459","10-OE-1459","USA","ID","Owyhee",,42.32500,-115.07300,"Nyers BO-20-41 Project                ",,,"lightgrey","o",20.00000
317,"10-OE-1497","10-OE-1497","USA","ID","Owyhee",,42.24900,-115.05100,"Nyers BO-20-41 Project            ",,,"lightgrey","o",20.00000
318,"10-OE-1555","10-OE-1555","USA","ID","Owyhee",,42.17400,-115.04700,"Nyers BO-20-41 Project                          ",,,"lightgrey","o",20.00000
319,"10-OE-523","10-OE-523","USA","ID","Owyhee",,42.76400,-115.32400,"Nyers BO-20-41 Project  ",,,"lightgrey","o",20.00000
320,"Herrett Center",,"USA","ID","Owyhee",,,,"Nyers BO-20-41 Project    ",,,"lightgrey","o",20.00000
321,"10-PR-37","10-PR-37","USA","ID","Power",,42.70000,-113.05500,"Nyers BO-20-41 Project  'no coordinates: T8S, R29E, Sec 27; maps in Vol. Tebiwa 8 No. 2, Derived by NRWOSL - Coordinates centered on PLSS coordinates'",,,"lightgrey","o",20.00000
322,"ARPA.1471",,"USA","NV","Elko",,41.67600,-114.55200,"Nyers BO-20-41 Project  'No coordinates: Texas Spring, Nevada, Derived by NRWOSL - Texas Spring coordinates '",,,"lightgrey","o",20.00000
323,"Coyote Flats (1593)",,"USA","OR","Malheur",,42.57100,-118.12700,"Nyers BO-20-41 Project  'Coyote Flats, Southeast Oregon; Reference: Butler 1970 Tebiwa Vol. 13 No. 1, Derived by NRWOSL - Rough location based on fig 2. of Butler 1970.'",,,"lightgrey","o",20.00000
324,"Coyote Flats (3721)",,"USA","OR","Malheur",,42.57100,-118.12700,"Nyers BO-20-41 Project  'Coyote Flats, Southeast Oregon; Reference: Butler 1970 Tebiwa Vol. 13 No. 1, Derived by NRWOSL - Rough location based on fig 2. of Butler 1970.'",,,"lightgrey","o",20.00000
325,"Paulina Creek Cache",,"USA","OR","Deschutes",,43.80000,-121.30000,"Nyers Report 2021-66 Near Big Obsidian Flow Newberry Caldera",,,"lightgrey","o",20.00000
